series,title,description,embed_url,level,track,primary,secondary,admin
Project based learning,5 Keys to Rigorous Project-Based Learning,"Well-designed project-based learning (PBL) has been shown to result in deeper learning and more engaged, self-directed learners.",https://www.youtube.com/embed/hnzCGNnU_WM,4,teaching,0,1,0
Struggling students,How to help struggling students,Crescendo Education Group CEO Joe Feldman joins ABC 10News to talk about traditional grading at schools.,https://www.youtube.com/embed/JhGlpNi6xs4,1,coaching,1,1,1
Struggling students,How Do Teachers Change Lives?,"We asked some students, and this is what they told us.",https://www.youtube.com/embed/omf9mPTHP9M,1,coaching,1,1,1
Struggling students,Teacher Explains How to Reach Difficult Students as an Educator,"Teacher Angela Nichols shares her strategies for reaching difficult students. We learn that each child will not be reached in the same way, and each will not share the same experience with us. Challenging students require a different approach, and are often the result of poor learning or academic skills.",https://www.youtube.com/embed/PwFalMG_NoE,1,coaching,1,1,1
Struggling students,5 Ways to Handle Defiant Students in the Classroom,"Defiant students are USUALLY defiant for a reason. Not only does classroom management & teaching strategies play into managing the defiant student, but loving and understanding them.",https://www.youtube.com/embed/S8-fKGDurg4,1,coaching,1,1,1
Building confidence,How to Get Classroom Confidence as a Beginner Teacher,"If you’re a Beginning Teacher and the nerves are starting to creep in, then this video is for you... Find out what you need to do BEFORE you step foot in a #classroom this year to be a #confident and successful #teaching professional.",https://www.youtube.com/embed/2y_n_JOTGTk,5,teaching,1,1,1
Building confidence,Teacher Confidence: 10 Tips to give you Maximum Confidence,Teacher Confidence. How to be a more confident teacher. How to be more confident.,https://www.youtube.com/embed/L7QlT4rgxV0,5,teaching,1,1,1
Building confidence,Secrets to Teacher Confidence || High School Teacher,"Starting a career as a teacher can be really scary for a number of reasons, not least of all the fact that you’ll be up in front of humanity’s most critical judges every day - CHILDREN. Here are my BEST tips for building your confidence as a teacher and authority in your own classroom. Enjoy!",https://www.youtube.com/embed/omf9mPTHP9M,5,teaching,1,1,1
Building confidence,How to be confident as new Teacher #Teacherdemo #improveconfidence,"Hi Everyone ,how to be confident as new teacher In this video i shared 10 tips for new teachers.I hope you will like the video",https://www.youtube.com/embed/G7RAtZ5QIjU,5,teaching,1,1,1
Building confidence,Building your confidence as a teacher - Penny Ur - Cambridge Live,"This workshop with Penny Ur starts with a brief discussion on what ‘confidence as a teacher’ actually means, in practice. She then share experiences of her own, as well as some from Cambridge Live participants, that have contributed to our sense of self-worth and agency as the basis for professional confidence. Finally, Penny presents a series of tips on building teacher confidence.",https://www.youtube.com/embed/ibZGW3QZgjE,5,teaching,1,1,1
Student engagement,Creating Student Engagement | Teacher Vlog,Change does not have to come in big doses. There are small shifts you can make to your existing lesson plans that can have a huge impact on your classes.,https://www.youtube.com/embed/QziBaHiqADo,2,multimedia,1,1,1
Student engagement,10 Strategies & Tips to Increase Student Engagement,"Get students more involved with every single lesson when you encourage and build their interest with these engagement techniques! Hopefully, one of them here helps in your classroom!",https://www.youtube.com/embed/Q5tdBOg8kus,2,multimedia,1,1,1
Student engagement,Student Engagement Through a Different Lens | Candy Suiso | TEDxFargo,"Beautiful beaches, stunning sunsets and extremely engaged students. The perfect environment for learning happens at Wai’anae High School on the island of Oahu, Hawaii. A rural public school that ranked at the bottom of nearly every academic report for the last few decades. How is it done? This talk tells a success story about looking at students' engagement through a different lens. As Program Director for Wai`anae High School - Searider Productions, Candy Suiso oversees one of the most innovative Creative Media programs in the state of Hawaii.  Searider Productions is an integrated program on the island of Oahu that integrates photography, video production, journalism, and graphic arts.  Currently, she is focused on increasing the number of commercial and professional projects in which students participate.  She also oversees fundraising initiatives, and has successfully spearheaded efforts securing state, federal, and private grants. Candy grew up in Makaha, Hawaii - graduated from Wai`anae High School, received her B.A. in Liberal Arts from the University of Northern Iowa and teaching certificate from Chaminade University of Honolulu,  In 1999, she received a prestigious National Educator Award from the Milken Family Foundation.  She began her teaching career using a VHS video camera as a Spanish teacher at Wai`anae High before starting Searider Productions in 1993.",https://www.youtube.com/embed/rbTylVjogiI,2,multimedia,1,1,1
Student engagement,4 Tips to Boost Student Engagement When Teaching Math,Are you looking to boost student engagement during your math block? Then this video is for you! I share 4 ideas to help boost engagement when teaching math!,https://www.youtube.com/embed/Ob28TlT1XVU,2,multimedia,1,1,1
Holistic learning,What does 'Holistic Learning' mean for students?,"Holistic learning is the future for higher education. It is an alternative to the archaic way of learning by manually indexing through a wide variety of physical content. Holistic learning enables students to find a personalised learning pathway through a huge database of higher education content aggregated from etextbooks, digital monographs, open educational resources, lecture notes and other course materials.",https://www.youtube.com/embed/2aFIfCwSEnc,2,leadership,1,1,1
Holistic learning,Holistic Education,"Maine Coast Waldorf School develops curious, confident, well-rounded students by engaging their hands, their hearts and their minds.",https://www.youtube.com/embed/poV62yiV0d4,2,leadership,1,1,1
Holistic learning,Waldorf Education: What is holistic learning?,"Founded in the early 20th century, Waldorf education is based on the insights, teachings and principles of education outlined by the world renowned artist, and scientist, Rudolf Steiner. The principles of Waldorf education evolve from an understanding of human development that address the needs of the growing child. Waldorf schools integrate the arts in all academic disciplines for children from preschool through twelfth grade to enhance and enrich learning. Waldorf education aims to inspire life-long learning in all students and to enable them to fully develop their unique capacities.",https://www.youtube.com/embed/3s9uqy3T9FY,2,leadership,1,1,1
Holistic learning,Holistic.Education.Overview,N/A,https://www.youtube.com/embed/iAGcUe-1cDE,2,leadership,1,1,1
Data driven assessments,Data-Driven is STUDENT-CENTERED: Collecting Meaningful Data,Collecting Meaningful Data,https://www.youtube.com/embed/mCLuH4a201g,1,digital,1,1,1
Data driven assessments,Using Data to Improve Instruction,N/A,https://www.youtube.com/embed/Z87404xmnqs,1,digital,1,1,1
Data driven assessments,Data-Driven Instruction: Leading Analysis Meetings,Jesse Rector and Paul Chin show that just diagnosing the error is not enough: you need specific action plans that target students' weaknesses.,https://www.youtube.com/embed/mUd5VJbuD5M,1,digital,1,1,1
Data driven assessments,What's So Great About Data Driven Instruction?,Mark Adato talks about the absolute importance of using data in the classroom to help fuel instruction.,https://www.youtube.com/embed/KxFG9I8QbcU,1,digital,1,1,1
Data driven assessments,How does teacher use of student assessment data change instructional practice?,"Educators and testing professionals are asked ""How does teacher use of student assessment data change instructional?""",https://www.youtube.com/embed/ziky7Br8PtY,1,digital,1,1,1
Google drive demystified,5 Best Google Drive Features for Teachers,N/A,https://www.youtube.com/embed/d8swJF17PN4,2,digital,1,1,1
Google drive demystified,"Google Drive for Beginners - The Complete Course - Including Docs, Sheets, Forms, and Slides","In this comprehensive video, you'll learn how to use Google Drive to create, backup, manage, and find your files. You'll also learn how to use the four essential Google Drive apps: Google Docs, Google Sheets, Google Forms, and Google Slides.",https://www.youtube.com/embed/h9UrHBzw0H8,2,digital,1,1,1
Google drive demystified,Organize Your Teacher Google Drive,"If your Google Drive is a mess, all is not lost!  In this video, we show you how to get it organized, even if you've accumulated years of unorganized folders and files.",https://www.youtube.com/embed/joppkuOW-ac,2,digital,1,1,1
Powerpoint demystified,4 Quick Tips to Make an Engaging PowerPoint Presentation [Made for Teachers],"Here're 4 quick tips on how to make engaging PowerPoint presentations by adding hyperlinks, animations, transitions, interactive quizzes, and annotations to your slides.",https://www.youtube.com/embed/0nH1ospwJd4,3,ditial,1,1,1
Powerpoint demystified,My Weekly Classroom PowerPoint Slides TIPS and TUTORIAL! | Mrs. Call Creates,"Hey sweet friends! In this video, I'm showing you my weekly powerpoint that I use to organize my day, and I'm giving you a tutorial for how to make your own! I have my Powerpoint kit linked. ♡ open to see more...",https://www.youtube.com/embed/4v9jioyl-JE,3,ditial,1,1,1
Powerpoint demystified,Microsoft PowerPoint Tutorial - Beginners Level 1,Are you new to Microsoft PowerPoint? This video tutorial will walk you through a beginner's guide on how to use PowerPoint 2016. Start making fantastic PowerPoint presentations after watching this video. Click on the timestamps below to jump to different parts of the video.,https://www.youtube.com/embed/u7Tku3_RGPs,3,ditial,1,1,1
Student mental health,"Teacher's ""mental health check in"" for students goes viral","A special education teacher from California made a ""mental health check in"" for her students, and now her lessons in self-care are inspiring educators around the world.",https://www.youtube.com/embed/PgPBRCwVsTw,2,coaching,1,1,1
Student mental health,Mental Health in Schools: We’re Doing it Wrong | Maya Dawson | TEDxYouth@CherryCreek,"School counselors are a crucial resource for students, but their services are not accessible for all youth. We are not giving students the language they need to talk about their own mental health, which is keeping them from getting support until they are in crisis. By integrating conversation around mental health into core school curriculum schools will give their students the tools they need for self-advocacy and a healthier lifestyle. ""Maya Dawson is a junior at Conifer High School. She fell in love with storytelling from stories around the dinner table growing up, and now shares her own stories and those of her peers through her school’s student paper. She has worked as a Global Youth Reporter with the Team Harmony Foundation and has been published in several papers. Her work focuses on social justice and the challenges faced by today’s youth. She hopes to pursue political science or journalism in college- whatever will best let her share the stories of those who are not being heard. When not writing, she runs, plays basketball, and cares for her pet Axolotl (Look up photos... they are fantastic creatures).",https://www.youtube.com/embed/5Hkb6SuGR0g,2,coaching,1,1,1
Student mental health,Teacher Expectations Vs Reality: On Mental Health | Sydnee Leathers | TEDxOhioStateUniversitySalon,Sydnee Leathers is sharing about mental health for teachers. She discusses the struggle of trying to balance the personal stress of everything that has happened in the last 8 months with the expectations of being a good and present 2nd grade teacher. Sydnee teaches second grade at East Lindon and has had a passion for mental health advocacy since college. She has only been teaching for a few years but has already received recognition for her dedication to teaching and great communication skills. This talk was given at a TEDx event using the TED conference format but independently organized by a local community. Learn more at https://www.ted.com/tedx,https://www.youtube.com/embed/D3DNqRrDm5U,2,coaching,1,1,1
Student mental health,How can we support the emotional well-being of teachers? | Sydney Jensen,"Teachers emotionally support our kids -- but who's supporting our teachers? In this eye-opening talk, educator Sydney Jensen explores how teachers are at risk of ""secondary trauma"" -- the idea that they absorb the emotional weight of their students' experiences -- and shows how schools can get creative in supporting everyone's mental health and wellness.",https://www.youtube.com/embed/OfCLTQhW9GQ,2,coaching,1,1,1
